"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Garbage Not Collected","Environmental Services","Phone","JAN 23, 2020 08:39:07 AM","19##","JEFFERSON","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 23, 2020 09:06:49 AM","6##","MOY","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 02:04:19 PM","19##","IROQUOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 03:46:51 PM","38##","SEMINOLE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 04:08:14 PM","13##","FRANCOIS","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 09:52:43 AM","17##","PARENT","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 01:30:21 PM","15##","MARENTETTE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 03:12:12 PM","16##","MOY","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 13, 2020 08:17:34 AM","101##","SHENANDOAH","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 13, 2020 11:01:58 AM","18##","JANE","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 18, 2020 08:18:45 AM","7##","SAMANTHA","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 18, 2020 01:27:54 PM","31##","NORTHWAY","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 09:27:11 AM","6##","BRIDGE","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 10:56:18 AM","14##","VICTORIA","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 03:29:19 PM","7##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 08:25:58 AM","17##","TOURANGEAU","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 09:28:53 AM","3##","PIERRE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 08, 2020 03:51:07 PM","26##","MEADOWBROOK","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 03:44:33 PM","108##","ROBWOOD","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 06, 2020 11:54:36 AM","30##","KENILWORTH","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 23, 2020 04:14:30 PM","9##","HOMEDALE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 04:25:34 PM","8##","MATTHEW BRADY","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 04:41:54 PM","86##","DARLINGTON","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 08:07:59 AM","15##","ST LUKE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 09:06:18 AM","8##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 09:34:02 AM","27##","CALIFORNIA","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 10:28:57 AM","10##","CATARAQUI","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 11:09:14 AM","13##","SOUTH PACIFIC","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 11:25:00 AM","10##","WAVERLY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 12:18:32 PM","8##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Web Intake","APR 28, 2020 12:21:54 PM"," "," ","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 12:56:42 PM","6##","ALPENROSE","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 03:44:13 PM","11##","WAVERLY","WARD 10"," "
